SKU;Product Name;Currency;List price;Sale price;Min quantity;Modified;Valid from;Valid to;Created date;Created by;Modified By
T001002;"7-3/4"" Steel Hex Flange Bolt, Grade 8, Plain Finish, 3/4""-10 Dia/Thread Size, 65 PK";USD;11.1000;;1;09/17/2019 10:01:41;;;09/17/2019 10:01:41;unknown;unknown
T001003;"7-3/4"" Steel Hex Flange Bolt, Grade 8, Plain Finish, 3/4""-11 Dia/Thread Size, 65 PK";USD;12.1000;;1;09/17/2019 10:01:41;;;09/17/2019 10:01:41;unknown;unknown
T001004;"7-3/4"" Steel Hex Flange Bolt, Grade 8, Plain Finish, 3/4""-12 Dia/Thread Size, 65 PK";USD;13.1000;;1;09/17/2019 10:01:41;;;09/17/2019 10:01:41;unknown;unknown
T001005;"7-3/4"" Steel Hex Flange Bolt, Grade 8, Plain Finish, 3/4""-13 Dia/Thread Size, 65 PK";USD;14.1000;;1;09/17/2019 10:01:41;;;09/17/2019 10:01:41;unknown;unknown
T001006;"7-3/4"" Steel Hex Flange Bolt, Grade 8, Plain Finish, 3/4""-14 Dia/Thread Size, 65 PK";USD;15.1000;;1;09/17/2019 10:01:41;;;09/17/2019 10:01:41;unknown;unknown
T001007;"7-3/4"" Steel Hex Flange Bolt, Grade 8, Plain Finish, 3/4""-15 Dia/Thread Size, 65 PK";USD;16.1000;;1;09/17/2019 10:01:41;;;09/17/2019 10:01:41;unknown;unknown
T001008;"7-3/4"" Steel Hex Flange Bolt, Grade 8, Plain Finish, 3/4""-16 Dia/Thread Size, 65 PK";USD;17.1000;;1;09/17/2019 10:01:41;;;09/17/2019 10:01:41;unknown;unknown
T001009;"7-3/4"" Steel Hex Flange Bolt, Grade 8, Plain Finish, 3/4""-17 Dia/Thread Size, 65 PK";USD;18.1000;;1;09/17/2019 10:01:41;;;09/17/2019 10:01:41;unknown;unknown
T001010;"7-3/4"" Steel Hex Flange Bolt, Grade 8, Plain Finish, 3/4""-18 Dia/Thread Size, 65 PK";USD;19.1000;;1;09/17/2019 10:01:41;;;09/17/2019 10:01:41;unknown;unknown
T001011;"7-3/4"" Steel Hex Flange Bolt, Grade 8, Plain Finish, 3/4""-19 Dia/Thread Size, 65 PK";USD;20.1000;;1;09/17/2019 10:01:41;;;09/17/2019 10:01:41;unknown;unknown
T001012;"7-3/4"" Steel Hex Flange Bolt, Grade 8, Plain Finish, 3/4""-19 Dia/Thread Size, 65 PK";USD;20.1001;;2;09/17/2019 10:01:41;;;09/17/2019 10:01:41;unknown;unknown
T001013;"7-3/4"" Steel Hex Flange Bolt, Grade 8, Plain Finish, 3/4""-19 Dia/Thread Size, 65 PK";USD;20.1002;;3;09/17/2019 10:01:41;;;09/17/2019 10:01:41;unknown;unknown
T001014;"7-3/4"" Steel Hex Flange Bolt, Grade 8, Plain Finish, 3/4""-19 Dia/Thread Size, 65 PK";USD;20.1003;;4;09/17/2019 10:01:41;;;09/17/2019 10:01:41;unknown;unknown
T001015;"7-3/4"" Steel Hex Flange Bolt, Grade 8, Plain Finish, 3/4""-19 Dia/Thread Size, 65 PK";USD;20.1004;;5;09/17/2019 10:01:41;;;09/17/2019 10:01:41;unknown;unknown
T001016;"7-3/4"" Steel Hex Flange Bolt, Grade 8, Plain Finish, 3/4""-19 Dia/Thread Size, 65 PK";USD;20.1005;;6;09/17/2019 10:01:41;;;09/17/2019 10:01:41;unknown;unknown
T001017;"7-3/4"" Steel Hex Flange Bolt, Grade 8, Plain Finish, 3/4""-19 Dia/Thread Size, 65 PK";USD;20.1006;;7;09/17/2019 10:01:41;;;09/17/2019 10:01:41;unknown;unknown
T001018;"7-3/4"" Steel Hex Flange Bolt, Grade 8, Plain Finish, 3/4""-19 Dia/Thread Size, 65 PK";USD;20.1007;;8;09/17/2019 10:01:41;;;09/17/2019 10:01:41;unknown;unknown
T001019;"7-3/4"" Steel Hex Flange Bolt, Grade 8, Plain Finish, 3/4""-19 Dia/Thread Size, 65 PK";USD;20.1008;;9;09/17/2019 10:01:41;;;09/17/2019 10:01:41;unknown;unknown
